2025-07-09 16:41:42 - INFO - [logging_config.py:44] - 日志文件已创建: D:\workspace\CFLPV2\logs\20250709_164142.log
2025-07-09 16:41:42 - INFO - [main.py:121] - 实验模式: Federated
2025-07-09 16:41:42 - INFO - [main.py:125] - 模型初始化完成: MLP
2025-07-09 16:41:43 - INFO - [main.py:138] - 加载联邦学习客户端数据
2025-07-09 16:41:43 - INFO - [main.py:113] - 开始训练 MLP 模型
2025-07-09 16:41:47 - INFO - [federated_trainer.py:65] - [Federated][Round 1/100] 客户端平均准确率: 0.937, 平均AUC: 0.996, 平均损失: 0.207
2025-07-09 16:41:49 - INFO - [federated_trainer.py:65] - [Federated][Round 2/100] 客户端平均准确率: 0.957, 平均AUC: 0.998, 平均损失: 0.134
2025-07-09 16:41:51 - INFO - [federated_trainer.py:65] - [Federated][Round 3/100] 客户端平均准确率: 0.965, 平均AUC: 0.999, 平均损失: 0.109
2025-07-09 16:41:53 - INFO - [federated_trainer.py:65] - [Federated][Round 4/100] 客户端平均准确率: 0.972, 平均AUC: 0.999, 平均损失: 0.090
2025-07-09 16:41:55 - INFO - [federated_trainer.py:65] - [Federated][Round 5/100] 客户端平均准确率: 0.975, 平均AUC: 0.999, 平均损失: 0.082
2025-07-09 16:41:57 - INFO - [federated_trainer.py:65] - [Federated][Round 6/100] 客户端平均准确率: 0.973, 平均AUC: 0.999, 平均损失: 0.087
2025-07-09 16:41:58 - INFO - [federated_trainer.py:65] - [Federated][Round 7/100] 客户端平均准确率: 0.974, 平均AUC: 0.999, 平均损失: 0.093
2025-07-09 16:42:00 - INFO - [federated_trainer.py:65] - [Federated][Round 8/100] 客户端平均准确率: 0.974, 平均AUC: 0.999, 平均损失: 0.088
2025-07-09 16:42:02 - INFO - [federated_trainer.py:65] - [Federated][Round 9/100] 客户端平均准确率: 0.973, 平均AUC: 0.999, 平均损失: 0.106
2025-07-09 16:42:04 - INFO - [federated_trainer.py:65] - [Federated][Round 10/100] 客户端平均准确率: 0.975, 平均AUC: 0.999, 平均损失: 0.096
2025-07-09 16:42:06 - INFO - [federated_trainer.py:65] - [Federated][Round 11/100] 客户端平均准确率: 0.975, 平均AUC: 0.999, 平均损失: 0.105
2025-07-09 16:42:08 - INFO - [federated_trainer.py:65] - [Federated][Round 12/100] 客户端平均准确率: 0.975, 平均AUC: 0.999, 平均损失: 0.104
2025-07-09 16:42:09 - INFO - [federated_trainer.py:65] - [Federated][Round 13/100] 客户端平均准确率: 0.976, 平均AUC: 0.999, 平均损失: 0.105
2025-07-09 16:42:11 - INFO - [federated_trainer.py:65] - [Federated][Round 14/100] 客户端平均准确率: 0.974, 平均AUC: 0.999, 平均损失: 0.112
2025-07-09 16:42:13 - INFO - [federated_trainer.py:65] - [Federated][Round 15/100] 客户端平均准确率: 0.976, 平均AUC: 0.999, 平均损失: 0.112
2025-07-09 16:42:15 - INFO - [federated_trainer.py:65] - [Federated][Round 16/100] 客户端平均准确率: 0.977, 平均AUC: 0.999, 平均损失: 0.110
2025-07-09 16:42:17 - INFO - [federated_trainer.py:65] - [Federated][Round 17/100] 客户端平均准确率: 0.976, 平均AUC: 0.999, 平均损失: 0.112
2025-07-09 16:42:19 - INFO - [federated_trainer.py:65] - [Federated][Round 18/100] 客户端平均准确率: 0.977, 平均AUC: 0.999, 平均损失: 0.108
2025-07-09 16:42:20 - INFO - [federated_trainer.py:65] - [Federated][Round 19/100] 客户端平均准确率: 0.975, 平均AUC: 0.999, 平均损失: 0.119
2025-07-09 16:42:22 - INFO - [federated_trainer.py:65] - [Federated][Round 20/100] 客户端平均准确率: 0.976, 平均AUC: 0.999, 平均损失: 0.120
2025-07-09 16:42:24 - INFO - [federated_trainer.py:65] - [Federated][Round 21/100] 客户端平均准确率: 0.976, 平均AUC: 0.999, 平均损失: 0.132
2025-07-09 16:42:26 - INFO - [federated_trainer.py:65] - [Federated][Round 22/100] 客户端平均准确率: 0.977, 平均AUC: 0.999, 平均损失: 0.122
2025-07-09 16:42:28 - INFO - [federated_trainer.py:65] - [Federated][Round 23/100] 客户端平均准确率: 0.977, 平均AUC: 0.999, 平均损失: 0.123
2025-07-09 16:42:29 - INFO - [federated_trainer.py:65] - [Federated][Round 24/100] 客户端平均准确率: 0.975, 平均AUC: 0.999, 平均损失: 0.128
2025-07-09 16:42:31 - INFO - [federated_trainer.py:65] - [Federated][Round 25/100] 客户端平均准确率: 0.975, 平均AUC: 0.999, 平均损失: 0.129
2025-07-09 16:42:33 - INFO - [federated_trainer.py:65] - [Federated][Round 26/100] 客户端平均准确率: 0.977, 平均AUC: 0.999, 平均损失: 0.131
2025-07-09 16:42:35 - INFO - [federated_trainer.py:65] - [Federated][Round 27/100] 客户端平均准确率: 0.976, 平均AUC: 0.999, 平均损失: 0.139
2025-07-09 16:42:37 - INFO - [federated_trainer.py:65] - [Federated][Round 28/100] 客户端平均准确率: 0.978, 平均AUC: 0.999, 平均损失: 0.131
2025-07-09 16:42:38 - INFO - [federated_trainer.py:65] - [Federated][Round 29/100] 客户端平均准确率: 0.976, 平均AUC: 0.999, 平均损失: 0.149
2025-07-09 16:42:40 - INFO - [federated_trainer.py:65] - [Federated][Round 30/100] 客户端平均准确率: 0.977, 平均AUC: 0.999, 平均损失: 0.141
2025-07-09 16:42:42 - INFO - [federated_trainer.py:65] - [Federated][Round 31/100] 客户端平均准确率: 0.977, 平均AUC: 0.999, 平均损失: 0.147
2025-07-09 16:42:44 - INFO - [federated_trainer.py:65] - [Federated][Round 32/100] 客户端平均准确率: 0.977, 平均AUC: 0.999, 平均损失: 0.143
2025-07-09 16:42:46 - INFO - [federated_trainer.py:65] - [Federated][Round 33/100] 客户端平均准确率: 0.976, 平均AUC: 0.999, 平均损失: 0.150
2025-07-09 16:42:47 - INFO - [federated_trainer.py:65] - [Federated][Round 34/100] 客户端平均准确率: 0.977, 平均AUC: 0.999, 平均损失: 0.148
2025-07-09 16:42:49 - INFO - [federated_trainer.py:65] - [Federated][Round 35/100] 客户端平均准确率: 0.979, 平均AUC: 0.999, 平均损失: 0.145
2025-07-09 16:42:51 - INFO - [federated_trainer.py:65] - [Federated][Round 36/100] 客户端平均准确率: 0.977, 平均AUC: 0.999, 平均损失: 0.147
2025-07-09 16:42:53 - INFO - [federated_trainer.py:65] - [Federated][Round 37/100] 客户端平均准确率: 0.976, 平均AUC: 0.999, 平均损失: 0.155
2025-07-09 16:42:54 - INFO - [federated_trainer.py:65] - [Federated][Round 38/100] 客户端平均准确率: 0.976, 平均AUC: 0.999, 平均损失: 0.159
2025-07-09 16:42:56 - INFO - [federated_trainer.py:65] - [Federated][Round 39/100] 客户端平均准确率: 0.978, 平均AUC: 0.999, 平均损失: 0.155
